distance_km,duration_min,time_of_day,traffic_level,weather,demand_level,day_type,ride_price
8.116262258099887,31.865216170763137,Morning,Medium,Clear,High,Weekday,85.31772905451191
19.063571821788408,42.93916844087445,Afternoon,High,Rainy,Low,Weekday,133.70901569487296
14.907884894416696,37.04439658489865,Morning,Low,Rainy,Medium,Weekend,99.44529631805253
12.374511199743695,58.106529008002234,Morning,Low,Rainy,Low,Weekday,104.64115001716918
3.964354168406294,15.141007048325202,Afternoon,Low,Rainy,High,Weekend,48.29875016216183
3.96389588638785,8.037160237985866,Night,Low,Rainy,Low,Weekend,39.11269859256051
2.1035886311957896,4.847540414280223,Night,Low,Clear,Low,Weekend,14.799682515551693
17.457346769723767,69.6636349363811,Morning,Low,Rainy,Medium,Weekday,129.52656181407824
12.421185223120967,25.03098305767065,Afternoon,Low,Rainy,Medium,Weekday,81.49638812758828
14.453378978124864,35.87941708586242,Morning,Medium,Rainy,High,Weekday,119.24456428570684
1.3911053916202465,5.072250382096692,Evening,High,Clear,Low,Weekday,20.644088222167095
19.428287191077892,79.18359020285956,Evening,Low,Rainy,Low,Weekend,146.8947747127731
16.816410175208013,66.52376422483891,Morning,Medium,Rainy,Low,Weekend,128.04894235147765
5.034443102887247,13.456099440383495,Night,Medium,Clear,High,Weekend,47.564946160741435
4.4546743769349115,18.4269283412368,Night,High,Rainy,High,Weekday,67.08619718704287
4.484685687215243,12.161334135435812,Morning,Low,Clear,Medium,Weekend,27.912478390389165
6.780602616231217,20.180423366441172,Morning,High,Clear,Medium,Weekday,53.744181605243796
10.97037220101252,46.50861007902967,Evening,Low,Clear,Medium,Weekend,72.51059140444389
9.206955354200199,36.35733400284244,Night,Medium,Clear,Low,Weekday,65.7022450270142
6.533353663762797,29.711537968441416,Morning,Medium,Clear,Low,Weekday,38.9248322694736
12.62520499972521,50.15790272671257,Evening,Medium,Rainy,Medium,Weekend,97.6227667150369
3.6503833523887947,13.524399498682989,Night,Medium,Clear,Low,Weekend,23.611036430461397
6.550748322169145,14.942416128876673,Afternoon,High,Clear,Medium,Weekend,52.09787522253895
7.960875022580142,24.703768701111812,Evening,Low,Rainy,High,Weekend,69.91211779304824
9.665329700123683,27.020464362939272,Night,Low,Clear,Medium,Weekday,51.24009384189484
15.918343266467259,43.48841922324807,Night,High,Rainy,High,Weekend,132.58159940909263
4.793801861008835,23.580863146478208,Evening,Low,Rainy,Low,Weekend,38.52987753399779
10.770454329858621,34.242431931801285,Afternoon,Medium,Rainy,Medium,Weekend,70.07070419914133
12.255876808378806,57.31019167952577,Evening,Low,Clear,Low,Weekday,93.77439623012978
1.8825578416799567,7.329580592034695,Night,Medium,Clear,High,Weekday,36.083770640127334
12.54335218612733,54.99549867776821,Morning,High,Clear,High,Weekend,111.229753090648
4.239958350058539,14.87339771999861,Morning,Low,Rainy,High,Weekday,51.257636474184736
2.235980266720311,8.341797638897111,Evening,High,Clear,Low,Weekend,23.81187206965105
19.02882520781333,66.17374973793011,Night,Low,Clear,Low,Weekday,124.9365087981507
19.347008628416628,50.026120565533084,Morning,Medium,Clear,Low,Weekday,125.0667894942898
16.35954961421276,68.17607289896617,Night,High,Rainy,Low,Weekday,138.93649182269
6.787661614294043,19.29268658927144,Evening,Low,Rainy,High,Weekday,62.24161541977791
2.8557701661212933,5.919862766728645,Morning,Medium,Clear,High,Weekend,32.46261654944531
14.00042750373098,55.111519261007246,Night,High,Clear,Medium,Weekend,113.98056231882799
9.362897381052425,23.700602111234875,Morning,High,Clear,Medium,Weekend,72.10996897695442
3.3187264620507975,16.000827295166143,Evening,Low,Clear,Low,Weekday,28.7825331498395
10.408361292114133,50.60322241317401,Night,Low,Rainy,High,Weekend,107.18334420436973
1.6533819011891495,7.844624476877111,Morning,Low,Rainy,High,Weekend,41.963447606250554
18.27708763949686,56.85044429426674,Evening,Medium,Rainy,High,Weekend,147.95387349613299
5.916819650400321,12.108001338020758,Morning,Low,Rainy,Medium,Weekday,44.36278599491789
13.587923402725657,65.01761137076251,Morning,High,Clear,Medium,Weekday,108.53600761171909
6.9225104456988085,22.737348609625386,Afternoon,High,Clear,High,Weekday,71.49861535987266
10.881292402378406,53.31794601930388,Afternoon,Low,Clear,High,Weekend,93.39340159142714
11.387495307522313,55.6946445170605,Evening,Low,Rainy,High,Weekend,98.0223644310884
4.512234654985013,20.571405787939177,Afternoon,High,Clear,Medium,Weekend,41.44938083989445
19.422107927526614,56.000670337801616,Evening,Medium,Rainy,High,Weekday,149.89850602571997
15.727523643861176,49.62494818307439,Afternoon,Low,Rainy,High,Weekday,123.51374522201218
18.850479889719594,85.83396390893334,Morning,Low,Clear,Low,Weekend,136.20548246687162
18.001719658125328,53.11886258719344,Evening,High,Clear,Low,Weekday,125.7978460043897
12.360099597410617,31.005040885057607,Evening,Low,Clear,Medium,Weekday,84.08730230067633
18.51561046543922,67.95976677790924,Morning,Medium,Rainy,High,Weekday,147.76074934602622
2.6813575389864703,12.8932120620355,Evening,High,Clear,High,Weekday,51.63656063686737
4.723674385963759,19.310803139190917,Evening,Low,Rainy,Low,Weekend,27.71132104017438
1.8593184893002233,6.898412799338274,Afternoon,High,Clear,Medium,Weekday,29.485077752815435
7.181276284502022,16.45610631938528,Evening,Low,Rainy,Low,Weekday,58.62146515651587
8.384868504100158,32.24000118303188,Night,Low,Rainy,Low,Weekday,70.55561647896268
6.155631603704022,30.59448351461999,Morning,Low,Clear,Low,Weekday,36.01580975981125
16.746012673886657,40.5295714314526,Afternoon,Medium,Rainy,Low,Weekend,117.089284061272
7.778313207178196,27.6518175563152,Afternoon,Medium,Rainy,High,Weekend,75.46687893567233
6.337755684060235,29.357239889078837,Night,High,Clear,High,Weekday,58.720711165217296
11.31122558000672,47.75945397403617,Morning,Low,Rainy,Low,Weekday,94.92674342622517
3.6775602745204905,15.045072748439962,Morning,Low,Clear,Medium,Weekday,33.131203139567276
16.241742634326755,66.71218235914174,Afternoon,Medium,Rainy,Medium,Weekday,113.04224399187879
2.4164622299156457,7.439014826565588,Evening,Low,Clear,Medium,Weekday,16.67892393936159
19.75085179540983,56.89777060404682,Afternoon,Medium,Clear,Medium,Weekday,134.14609988629348
15.67265061663649,69.39980507074883,Morning,Low,Rainy,Low,Weekend,127.21396218584259
4.775597949149276,21.15752349692331,Night,High,Rainy,High,Weekday,71.63705675000566
1.1049202253484456,5.083977675613673,Afternoon,Low,Rainy,Medium,Weekend,2.830325565061525
16.49376714064185,78.1758653330563,Morning,Low,Rainy,Low,Weekend,133.20448220291647
14.430289533104725,50.9970356645564,Afternoon,Medium,Rainy,Medium,Weekday,104.5594460059321
14.851136192778759,52.04653277144962,Evening,Low,Clear,Medium,Weekend,105.25823499321108
15.65413658703297,68.79813847901342,Afternoon,Low,Rainy,Low,Weekend,121.95055946684067
2.4068483829477167,9.506790673195852,Afternoon,Medium,Clear,High,Weekend,31.688229199892184
7.81084884234118,32.070569196452915,Morning,High,Clear,High,Weekend,83.29404805697854
3.2015121309774646,14.04624391678278,Morning,High,Rainy,Low,Weekend,40.17111575791992
17.398965091636278,81.25344580423351,Morning,Medium,Clear,High,Weekend,142.50016196083845
12.8426644097236,38.707603934115696,Afternoon,Medium,Clear,Low,Weekday,80.79100402003203
7.2870624722003345,22.784814262542863,Evening,Medium,Clear,Low,Weekend,39.80067453635029
2.207608655434449,5.037643342410564,Night,Medium,Clear,Low,Weekend,16.396132317233885
6.908664112597582,25.802757996579572,Night,Medium,Rainy,High,Weekend,66.41454796292486
7.178483118508193,15.130999254088524,Morning,High,Clear,Low,Weekday,52.45395588938156
14.862517388423218,50.484910698373675,Morning,High,Rainy,Medium,Weekend,118.98991208357259
13.11359195574905,47.575244861093076,Afternoon,Medium,Rainy,High,Weekday,101.92949399146458
17.857042108950203,51.064421833518686,Night,Low,Clear,High,Weekend,120.51067694312623
9.972083578077036,37.6196831214599,Morning,Medium,Rainy,High,Weekday,90.17156656806911
3.272290672827732,6.843998395838862,Evening,Low,Rainy,High,Weekday,45.05626997355637
14.551650957236905,30.733735334164525,Evening,Medium,Rainy,Medium,Weekend,99.84531380651259
15.454915923721051,69.04949935884454,Morning,Medium,Clear,High,Weekend,118.842756818648
11.664266753820428,35.932612678592804,Morning,High,Rainy,High,Weekday,112.4707975304626
15.648376419136659,37.26162502822883,Night,Low,Rainy,Low,Weekend,103.64734651821603
10.382116330923424,37.03020349863586,Night,Low,Rainy,High,Weekday,89.00989717845266
10.931923758257888,47.116379966988106,Afternoon,High,Clear,Medium,Weekday,84.97504949448664
